Data Size,KNN_MSE,SVR_MSE,LSTM_MSE,KNN_MAE,SVR_MAE,LSTM_MAE
100,0.007283813203017603,0.013047082179911225,0.0033674481550259425,0.06430658706118986,0.09463705775567273,0.0476876060027115
300,0.000555613929964328,0.0012539355963688244,0.0006179598155631052,0.01804905242305287,0.026121855857573574,0.019482417431726424
500,0.0005262278763676489,0.001672981161498494,0.000840846892985943,0.017689516655351505,0.032118781212103036,0.02265951339017665
1000,0.0005262278763676489,0.001051049557729863,0.000527327151986819,0.017689516655351505,0.024728481473516483,0.017953197487431273
1174,0.0005262278763676489,0.0011430349550701222,0.0004390554652483517,0.017689516655351505,0.026087986518759355,0.016417403987430933
